roothog_id,n_proteins,n_taxa,taxa_list
1027422,36,20,"3702, 6239, 7227, 7955, 9031"
801485,35,15,"3635, 3702, 4081, 4577, 5061"
1027291,35,17,"882, 3702, 5664, 6238, 6239"
807509,35,7,"3702, 4577, 9606, 10090, 39947"
793269,35,13,"6239, 7227, 7955, 8030, 9031"
801706,35,10,"3702, 6239, 7227, 7955, 9606"
805243,35,10,"3702, 6239, 7159, 7227, 7955"
793051,34,10,"6239, 7227, 7955, 9031, 9606"
801487,34,19,"3635, 3702, 6239, 7227, 7955"
1027285,34,23,"3702, 4577, 6239, 7955, 9606"
801764,33,12,"3702, 6239, 7227, 9606, 10090"
802127,33,16,"3055, 3702, 3988, 6239, 6279"
793075,33,9,"4041, 6239, 7227, 7955, 9606"
793340,33,6,"7227, 7955, 8355, 9606, 10090"
803704,33,9,"6239, 7227, 7955, 9606, 9615"
802421,33,13,"3702, 6239, 7227, 7955, 9606"
1028705,32,9,"6239, 7227, 7955, 9606, 9913"
801642,31,12,"3702, 7070, 7165, 7227, 51351"
802214,31,16,"3702, 5664, 6239, 7227, 9606"
792950,31,12,"6239, 7227, 7955, 9031, 9606"
802165,31,14,"3702, 5664, 6239, 7227, 9031"
801848,31,12,"3702, 6239, 7227, 7955, 9606"
804434,31,11,"3702, 6239, 7227, 8355, 9606"
831465,31,9,"6239, 7227, 7955, 9031, 9606"
801877,30,6,"3702, 6239, 7955, 9606, 10090"
793209,30,8,"6239, 7227, 7955, 9606, 10090"
805789,30,10,"3702, 6239, 7227, 7955, 9606"
792959,30,12,"6239, 7227, 9606, 9913, 10090"
1028525,30,15,"3702, 4577, 5702, 6239, 7227"
802335,30,9,"3702, 5664, 6239, 7227, 9606"
801805,29,9,"3702, 9606, 9986, 10090, 10116"
778538,29,9,"6238, 6239, 7227, 7955, 8355"
792943,29,11,"6239, 7227, 7955, 8355, 9031"
1027288,29,17,"882, 3702, 6239, 7227, 7955"
777855,29,5,"6239, 7955, 9606, 10090, 10116"
793112,29,9,"6239, 7227, 7955, 9606, 10090"
803406,29,12,"3702, 6239, 7227, 7955, 9606"
793081,29,10,"6239, 7227, 9606, 9986, 10090"
793943,29,8,"6239, 7227, 7955, 7998, 9606"
802977,29,12,"3702, 6239, 7227, 7955, 9606"
811656,29,10,"3635, 3702, 7955, 9031, 9606"
793068,29,12,"6239, 7227, 8022, 9606, 9823"
1027421,29,13,"3702, 7227, 7955, 9606, 10090"
805822,29,13,"3702, 4577, 6239, 7227, 7955"
755418,28,7,"7955, 9031, 9606, 9615, 9913"
793231,28,6,"6239, 7227, 9606, 10090, 10116"
792962,28,6,"7227, 7955, 9606, 10090, 284812"
801973,28,15,"3702, 7227, 8355, 9031, 9606"
1027592,28,14,"3702, 6239, 7227, 7955, 7998"
793150,28,12,"6239, 7227, 7955, 8030, 8355"
801612,28,10,"3702, 6239, 7227, 7955, 9606"
803021,28,7,"2769, 3483, 3702, 4097, 227321"
1028372,27,13,"3702, 6239, 7227, 7955, 8355"
801648,27,11,"3702, 3880, 4081, 6239, 7227"
792972,27,11,"6239, 7227, 7955, 9031, 9606"
643048,27,1,7227
802051,27,12,"3635, 3702, 3880, 6239, 7227"
804850,27,11,"3702, 6239, 7227, 7955, 9606"
801821,27,17,"3055, 3218, 3702, 6239, 7227"
758622,27,6,"7955, 9031, 9606, 9823, 10090"
801631,26,16,"3702, 5691, 6239, 7227, 7955"
1027287,26,19,"3702, 6239, 7227, 8030, 8355"
801957,26,13,"3702, 6239, 7227, 7955, 8355"
778154,26,8,"4498, 6239, 7227, 7955, 8355"
801977,26,16,"3702, 4558, 5061, 6239, 7227"
814832,26,4,"3702, 39946, 39947, 49451"
1028632,26,18,"3635, 3702, 4577, 6239, 7227"
801779,26,12,"3702, 7227, 7955, 9031, 9606"
793056,26,11,"7227, 7955, 9606, 10090, 10116"
724096,26,2,"10090, 10116"
803398,26,11,"3702, 7227, 7955, 9606, 9925"
803365,25,12,"6239, 7091, 7227, 9606, 9913"
802134,25,15,"3702, 5664, 6239, 7091, 7227"
804980,25,7,"3702, 7227, 9606, 10090, 10116"
805099,25,6,"3702, 6239, 7227, 9606, 39946"
801880,25,11,"3702, 6239, 7227, 9606, 10090"
1027293,25,17,"2188, 3702, 5664, 6239, 7227"
802224,25,14,"6239, 7227, 7955, 9606, 9823"
1027748,25,13,"3702, 7227, 7955, 9031, 9606"
802609,25,11,"3702, 7955, 9606, 10090, 227321"
793299,25,12,"6183, 6239, 7227, 7955, 8030"
804612,25,12,"3702, 6239, 7227, 9031, 9606"
1027424,25,8,"6239, 7227, 7955, 9606, 9913"
804664,25,14,"3702, 4956, 7227, 9606, 148305"
803064,25,9,"3702, 6239, 7227, 7955, 9606"
777870,25,7,"7227, 7955, 9031, 9606, 9913"
795766,25,6,"6239, 7955, 9606, 9986, 10090"
804028,25,9,"7955, 8030, 9606, 9615, 9823"
801842,25,15,"3702, 4577, 6239, 7955, 9031"
809154,24,3,"9606, 10090, 10116"
793256,24,6,"6239, 7227, 7955, 9606, 10090"
801556,24,13,"3702, 4081, 4577, 7227, 9606"
803530,24,14,"3702, 3847, 3988, 6239, 7227"
795691,24,6,"6239, 7227, 7955, 9606, 10090"
801948,24,2,"3702, 39947"
803038,24,8,"3702, 7955, 9031, 9606, 10090"
1033128,24,10,"3702, 7227, 9031, 9606, 10090"
802949,24,11,"3702, 4577, 7955, 9606, 10090"
1029089,24,18,"3635, 3702, 4577, 6239, 7091"
1033999,24,7,"7955, 9606, 9913, 9986, 10090"
802596,24,13,"6239, 7227, 7955, 9606, 9913"
802382,24,12,"7227, 7955, 9031, 9606, 9685"
802943,24,11,"3702, 7227, 9606, 9986, 10090"
804277,23,9,"3702, 4577, 6239, 9031, 9606"
801639,23,7,"3702, 7227, 9606, 10090, 10116"
792977,23,7,"6239, 7227, 9606, 9913, 10090"
801867,23,12,"3702, 6239, 7227, 7955, 9606"
802249,23,10,"5664, 6239, 7227, 7955, 9031"
803076,23,13,"3702, 7227, 9606, 9913, 10090"
792989,23,10,"6239, 7227, 7955, 8355, 9606"
802409,23,10,"3702, 6239, 7227, 7955, 9031"
793263,23,8,"7227, 7955, 9606, 10090, 10116"
802754,23,8,"3702, 7955, 9606, 9823, 9913"
801647,23,13,"3702, 6239, 7227, 7955, 9606"
801700,23,12,"3702, 5061, 6239, 7227, 9606"
803371,23,10,"3702, 4081, 7227, 7955, 9606"
1027284,23,15,"3702, 5664, 6239, 7227, 9606"
1033343,23,9,"3702, 6239, 7227, 7955, 9606"
802055,23,11,"3702, 7227, 7955, 9031, 9606"
751335,23,3,"9606, 10090, 10116"
802524,23,10,"3702, 3880, 4577, 39947, 44689"
802469,23,15,"3702, 6239, 7227, 9031, 9606"
801665,23,13,"3702, 4113, 7227, 7955, 9031"
1027397,23,19,"3702, 5664, 6183, 7227, 7955"
802461,22,11,"3702, 7227, 7955, 9606, 10090"
793469,22,7,"6239, 7227, 7955, 9606, 9913"
802691,22,11,"3702, 6239, 7227, 9606, 10090"
793020,22,11,"6239, 7227, 7998, 9606, 10090"
801928,22,13,"3702, 5691, 6239, 7227, 9031"
1027253,22,12,"3702, 7227, 9606, 10090, 10116"
789365,22,6,"6239, 7227, 9606, 10090, 10116"
801602,22,5,"3702, 9606, 10090, 44689, 185431"
802298,22,11,"3702, 6239, 7227, 7955, 9606"
801822,22,12,"3702, 6239, 7227, 9606, 10090"
1030684,22,16,"5664, 6239, 7227, 9606, 10090"
1027419,22,13,"3702, 5759, 7227, 7955, 9606"
801815,22,12,"3702, 7227, 7955, 9031, 9606"
778509,22,7,"7955, 8355, 9606, 9823, 9986"
802203,22,12,"3702, 5664, 6239, 7227, 9606"
761223,22,7,"6239, 7227, 7955, 8355, 9606"
1028629,21,8,"6239, 7227, 7955, 9606, 9615"
804561,21,17,"3702, 5664, 6239, 7227, 7955"
802027,21,12,"3635, 3702, 4577, 6239, 7227"
790081,21,8,"7955, 9031, 9606, 9823, 9913"
793447,21,8,"6239, 7227, 7955, 8355, 9606"
793394,21,11,"6239, 7227, 7955, 9606, 9615"
801898,21,14,"3702, 6239, 7227, 7955, 8355"
621971,21,1,7227
801910,21,11,"3702, 6239, 7227, 7955, 9606"
803363,21,10,"3702, 7955, 9606, 10090, 10116"
813688,21,10,"3702, 3880, 7227, 7955, 7998"
795437,21,7,"6239, 7955, 9606, 10090, 10116"
802820,21,12,"3702, 6239, 7227, 9606, 10090"
802854,21,12,"6239, 7227, 9606, 9913, 10090"
806926,21,7,"6239, 7227, 7955, 8355, 9606"
802308,21,9,"3702, 4577, 6239, 7227, 9606"
802823,21,8,"3702, 6239, 7955, 9606, 10090"
171993,21,3,"3330, 3332, 3352"
802351,21,11,"3702, 5664, 6239, 7159, 7227"
804718,21,14,"3702, 4097, 5664, 7955, 9606"
802312,21,16,"3702, 6239, 7227, 7955, 9606"
789284,21,11,"6239, 7227, 7955, 8355, 9031"
780062,21,9,"7227, 7955, 8355, 9031, 9606"
793320,21,11,"6239, 7227, 7955, 9031, 9606"
58077,21,2,"5691, 185431"
1027381,21,15,"3702, 6239, 7227, 7955, 9606"
1028488,20,13,"3702, 7227, 7955, 9606, 10090"
803069,20,6,"7227, 7955, 9606, 9913, 10090"
801989,20,16,"3702, 6239, 7227, 7955, 8355"
810427,20,9,"6956, 7227, 7955, 9606, 10090"
802091,20,10,"3702, 6239, 7227, 7955, 9606"
1027255,20,11,"3702, 4081, 7955, 9606, 170187"
801945,20,13,"3702, 7227, 7955, 9606, 9615"
803324,20,9,"3702, 6239, 7227, 9606, 10090"
793062,20,16,"5062, 7227, 9031, 9606, 9796"
804677,20,13,"3702, 7227, 7955, 9606, 9986"
793137,20,7,"6239, 7227, 7955, 9606, 10090"
802593,20,10,"5691, 6239, 7227, 7998, 9031"
802398,20,13,"3702, 6239, 7227, 9606, 10029"
772616,20,7,"7955, 8030, 9606, 9823, 9986"
801723,20,11,"3702, 6239, 7227, 7955, 9606"
793157,20,8,"6239, 7227, 7955, 8355, 9031"
802606,20,9,"3702, 6239, 7227, 7955, 9031"
1029317,20,16,"3702, 6239, 7227, 9031, 9606"
802919,20,10,"3702, 6239, 7227, 7955, 9544"
751334,20,2,"9606, 10090"
1027312,20,13,"3702, 7227, 7955, 9606, 10090"
802849,20,9,"3702, 6239, 9031, 9606, 9913"
802206,20,6,"3702, 7227, 9606, 44689, 284812"
404613,20,3,"237561, 284593, 559292"
804597,20,15,"3702, 6239, 7227, 9606, 9615"
802034,19,12,"3702, 6239, 7227, 7955, 8030"
802157,19,14,"3702, 6239, 7227, 7955, 9031"
802077,19,10,"3702, 6239, 7227, 9606, 10090"
801902,19,10,"3702, 5664, 7955, 8355, 8364"
762001,19,6,"7955, 8355, 9031, 9606, 10090"
793956,19,7,"6239, 7227, 9606, 9913, 9986"
792951,19,7,"6239, 7227, 7955, 9606, 10090"
802236,19,8,"3702, 6239, 7227, 9606, 10090"
801507,19,11,"3702, 5061, 6239, 9606, 10090"
802310,19,13,"3702, 6239, 7227, 9606, 9913"
1029316,19,17,"3702, 4536, 4577, 6239, 7227"
806396,19,11,"3702, 6239, 7227, 9606, 9913"
1027548,19,14,"3702, 4577, 5664, 7227, 9606"
136401,19,1,36329
802679,19,8,"7227, 7955, 8355, 9606, 10116"
1027788,19,18,"7227, 9031, 9606, 10090, 10116"
1027769,19,13,"3702, 5664, 5691, 7227, 9606"
804954,19,12,"3702, 5664, 6239, 7227, 9606"
802348,19,9,"3702, 6239, 7227, 7955, 9606"
802322,19,9,"3702, 7227, 7955, 9031, 9606"
802328,19,12,"3702, 6239, 7227, 7955, 8355"
1033122,19,11,"3702, 3988, 9606, 9913, 10116"
1027578,19,7,"6239, 7227, 9606, 9913, 10090"
802181,19,9,"3702, 6239, 7227, 7955, 9606"
1027382,19,14,"3702, 5664, 5691, 7955, 9606"
803708,19,12,"7227, 9031, 9606, 9823, 10090"
990925,19,17,"71421, 93062, 160488, 160492, 169963"
793012,19,10,"6239, 7227, 7955, 9606, 10090"
1028318,19,9,"3702, 9031, 9606, 10090, 10116"
802592,19,11,"3702, 6239, 7227, 9031, 9606"
755569,19,7,"7955, 8355, 9544, 9606, 10090"
805484,19,6,"3702, 7227, 7955, 9606, 10090"
801726,19,11,"3702, 6239, 7227, 8355, 9606"
801690,19,11,"3702, 4577, 7227, 9606, 9913"
777846,19,7,"7227, 9031, 9606, 9823, 9913"
801970,19,13,"3702, 4577, 7227, 7955, 9606"
770308,18,10,"6239, 7227, 7955, 7998, 8030"
802015,18,15,"3702, 5664, 5823, 5849, 5850"
793553,18,5,"7227, 7955, 9606, 10090, 10116"
801663,18,12,"3702, 6239, 7227, 7955, 9606"
801914,18,8,"3702, 6239, 7227, 9606, 10090"
802003,18,14,"3702, 5691, 6239, 7227, 7955"
778189,18,2,"6239, 7227"
1027267,18,15,"3702, 7227, 7955, 9606, 9823"
1027319,18,13,"3702, 6239, 7227, 7955, 9606"
793648,18,8,"6239, 7227, 7955, 9606, 9615"
793181,18,8,"6239, 7227, 9606, 10090, 10116"
806750,18,5,"7955, 9606, 9913, 10090, 10116"
792984,18,8,"7227, 7955, 9606, 10090, 10116"
801941,18,9,"1848, 3702, 6239, 7227, 9606"
817621,18,8,"6239, 7227, 7955, 9031, 9606"
761248,18,6,"7955, 8355, 9031, 9606, 10090"
803332,18,10,"6239, 7227, 7955, 8355, 9606"
1027243,18,12,"3702, 5691, 7227, 9606, 9823"
821096,18,6,"6956, 7227, 9606, 10090, 10116"
758885,18,5,"7955, 9544, 9606, 10090, 10116"
804212,18,10,"3702, 6239, 7227, 7955, 9606"
1027409,18,14,"3635, 3702, 6239, 7227, 7955"
801704,18,12,"3702, 4577, 6239, 7227, 9606"
801707,18,11,"3702, 6239, 7091, 7227, 7955"
1027829,18,17,"3702, 6183, 6239, 7227, 9031"
801607,18,6,"3702, 9606, 10090, 185431, 284812"
793427,18,9,"6239, 7227, 7955, 8355, 9606"
802418,18,8,"3702, 7227, 9606, 10116, 36329"
802701,18,10,"3702, 6239, 7227, 9606, 9986"
802422,18,13,"3702, 6239, 7227, 7955, 9606"
1027307,18,15,"3702, 5691, 7227, 9606, 10090"
802229,18,9,"3702, 5664, 7227, 9606, 10090"
802550,18,7,"7227, 7955, 9606, 9913, 10090"
1028529,18,10,"3635, 3702, 3880, 7227, 9606"
805320,18,10,"3702, 6239, 7227, 7955, 9031"
771782,18,6,"7955, 9606, 9913, 9986, 10090"
1027627,18,13,"3702, 4081, 6239, 7227, 9606"
802750,18,4,"7955, 9606, 10090, 10116"
803040,18,7,"3702, 9606, 10090, 10116, 44689"
802247,18,14,"3702, 6239, 7227, 7955, 9606"
808156,18,11,"5062, 6239, 7227, 7955, 9606"
801824,18,9,"7227, 7955, 9606, 9823, 10090"
1027653,18,5,"7227, 9606, 10090, 10116, 542674"
801530,18,11,"3702, 6239, 7227, 9606, 9615"
802046,17,8,"3702, 6239, 7227, 9606, 10090"
818587,17,4,"7955, 9606, 10090, 10116"
804747,17,9,"3702, 7955, 9606, 9823, 10090"
805916,17,10,"3702, 6239, 7227, 7955, 9606"
801494,17,10,"3702, 4577, 7227, 7955, 9606"
802337,17,10,"3702, 6239, 9031, 9606, 9913"
801913,17,6,"6239, 7227, 7955, 9606, 9615"
403265,17,2,"284593, 559292"
1027262,17,8,"3702, 7227, 9606, 10090, 36329"
761039,17,5,"7227, 9031, 9606, 10090, 10116"
793892,17,6,"7227, 7955, 9031, 9606, 10090"
761410,17,7,"6239, 7955, 9031, 9606, 9823"
1034796,17,8,"7227, 7955, 9606, 9823, 9986"
793897,17,9,"6239, 7227, 7955, 9606, 9615"
803308,17,6,"6239, 7227, 7955, 9606, 10090"
801673,17,12,"3702, 6239, 7227, 7955, 9606"
801988,17,12,"3702, 6239, 7227, 7955, 9606"
801554,17,10,"3702, 6239, 7227, 7998, 9606"
1027286,17,10,"3702, 7227, 7955, 9606, 10090"
802686,17,8,"3702, 7955, 9606, 10090, 44689"
746896,17,6,"7998, 9031, 9606, 9823, 10090"
803121,17,8,"3702, 6239, 7227, 7955, 9606"
801868,17,7,"3702, 7955, 9606, 10090, 185431"
1033184,17,14,"3702, 5664, 6239, 7227, 9031"
802212,17,8,"7227, 9606, 10090, 10116, 185431"
736719,17,2,"9606, 10090"
804453,17,12,"3702, 5661, 6239, 7227, 9606"
801599,17,10,"3702, 4081, 6239, 9606, 9913"
801580,17,9,"3702, 5691, 7227, 9606, 10090"
1027410,17,12,"3702, 6239, 7227, 9606, 9913"
1028303,17,7,"3702, 7227, 9606, 10090, 10116"
1027411,17,12,"3702, 6239, 7227, 9606, 9913"
1027857,17,11,"3702, 4577, 6239, 7227, 9606"
801695,17,7,"7227, 8355, 9031, 9606, 10090"
728600,17,3,"9606, 10090, 10116"
1027294,17,13,"3702, 7227, 9606, 10090, 10116"
802466,17,10,"3702, 7227, 7955, 9606, 10090"
802137,17,8,"3702, 5691, 6239, 7227, 9606"
807664,17,7,"3635, 3702, 227321, 237561, 284593"
1033143,17,11,"7227, 9031, 9606, 9986, 10090"
801481,17,7,"3702, 7227, 7955, 9606, 10090"
1033103,17,10,"3702, 6239, 7955, 9606, 10090"
801605,17,9,"3702, 7227, 7955, 9606, 10090"
784348,17,8,"7227, 7955, 8355, 8364, 9606"
803182,16,8,"3702, 7955, 9606, 9913, 10090"
1027265,16,11,"3702, 7227, 7955, 9606, 10090"
801887,16,9,"3702, 6239, 7227, 7955, 9606"
1027305,16,14,"3702, 7227, 7955, 8355, 9606"
802004,16,9,"3702, 7227, 9606, 9913, 10090"
801960,16,9,"3702, 6239, 7227, 9031, 9606"
1027264,16,10,"3702, 6239, 7227, 9606, 10090"
1027278,16,9,"3702, 7227, 7955, 9606, 10090"
630313,16,2,"7227, 7240"
826528,16,5,"7955, 9031, 9606, 10090, 10116"
802499,16,10,"3702, 5664, 7227, 9606, 10090"
801654,16,9,"3702, 7227, 9606, 9615, 10090"
1027976,16,7,"3702, 44689, 237561, 284593, 284812"
739409,16,9,"7955, 7998, 8030, 8355, 9031"
792938,16,7,"6239, 7227, 8355, 9606, 9823"
801581,16,9,"3659, 3702, 7227, 7955, 9606"
789054,16,6,"7227, 7955, 9606, 10090, 10116"
1027752,16,6,"7227, 9606, 10090, 185431, 284812"
793372,16,4,"7227, 9606, 10090, 10116"
779995,16,7,"7227, 7955, 9031, 9606, 9823"
803046,16,12,"3055, 3702, 6239, 7227, 9606"
759259,16,5,"7955, 9606, 9823, 10090, 10116"
780064,16,7,"6239, 7227, 7955, 9103, 9606"
802166,16,10,"3702, 5664, 9031, 9606, 10090"
804288,16,8,"7227, 7955, 9031, 9606, 9913"
802510,16,8,"3702, 6239, 7227, 7955, 9606"
796303,16,6,"7227, 7955, 9606, 10090, 10116"
811314,16,3,"3635, 3702, 44689"
811696,16,7,"3702, 6239, 7227, 8355, 9606"
801833,16,10,"4097, 6239, 7955, 9606, 10090"
778530,16,8,"7955, 9031, 9103, 9606, 9796"
802531,16,12,"3702, 5874, 6239, 7227, 9606"
802507,16,10,"3702, 6239, 7227, 9606, 9823"
1027260,16,10,"3702, 7227, 9606, 10090, 10116"
988166,16,7,"10090, 71421, 75988, 83332, 83333"
805554,16,11,"3702, 6239, 7227, 7955, 9606"
789836,16,8,"6239, 7227, 7955, 9031, 9606"
789466,16,7,"7227, 7955, 8355, 9031, 9606"
1027363,16,9,"3702, 7227, 8355, 9606, 10090"
801671,16,11,"3702, 6239, 7227, 7955, 9606"
1027844,16,12,"3702, 6239, 7227, 9606, 9823"
802492,16,8,"3702, 6239, 7227, 9606, 10090"
802425,16,12,"3702, 6239, 7227, 9606, 10090"
802395,16,11,"3702, 6239, 7227, 9606, 9913"
790558,16,6,"6239, 7955, 9031, 9606, 10090"
804963,16,12,"3702, 4081, 4113, 7227, 10090"
1029088,16,12,"5664, 5823, 9031, 9606, 10090"
802366,16,3,"3702, 39947, 44689"
802280,16,8,"3702, 6239, 9606, 39947, 44689"
789285,16,5,"7227, 7955, 9606, 10090, 10116"
801729,16,9,"3702, 6239, 7227, 9606, 10090"
806030,16,8,"6239, 7227, 7955, 8355, 9606"
801738,16,11,"3702, 6239, 7227, 7955, 9606"
802218,16,10,"3702, 7227, 9606, 10090, 10116"
1027538,16,10,"3702, 6239, 9606, 44689, 185431"
801561,16,11,"3702, 7227, 9606, 9913, 10090"
745916,16,4,"7955, 9606, 10090, 10116"
1029705,16,11,"3702, 7227, 7955, 9606, 10090"
807608,16,9,"3702, 6239, 7227, 9606, 9913"
1029675,16,10,"882, 3702, 7227, 9606, 10090"
802272,16,10,"3702, 7227, 7955, 8355, 9606"
804822,16,12,"3702, 7227, 7955, 8355, 9606"
793140,16,8,"6239, 7955, 9606, 10090, 10116"
1027543,16,8,"3702, 5702, 7227, 9606, 10090"
803173,16,10,"3702, 6239, 7227, 7955, 9606"
1027277,16,9,"3702, 6239, 7227, 9606, 10090"
802124,16,14,"3702, 6239, 7227, 8355, 9606"
794378,16,4,"237561, 284593, 284812, 559292"
1027247,16,11,"3702, 7955, 9606, 10090, 10116"
803385,16,11,"3702, 3847, 4577, 7227, 9606"
802084,16,11,"3702, 7227, 7955, 9606, 10090"
801895,16,8,"6239, 7227, 9606, 9913, 10090"
802044,16,10,"3702, 6239, 7227, 7955, 9606"
1027250,16,12,"3702, 6239, 7227, 7955, 9606"
763598,15,4,"7955, 9606, 10090, 10116"
817237,15,7,"3311, 3352, 3635, 3694, 3702"
770202,15,5,"7955, 9031, 9606, 10090, 10116"
805041,15,11,"3702, 7227, 7955, 9606, 9823"
719662,15,1,10090
802112,15,10,"3702, 6239, 7227, 9606, 10090"
802155,15,13,"3702, 5664, 7227, 7955, 9606"
802153,15,9,"3702, 7227, 7955, 9606, 10090"
1033187,15,14,"3702, 5691, 6239, 7227, 9606"
792966,15,5,"6239, 7227, 9606, 10090, 284812"
1027274,15,12,"3702, 6239, 7227, 7955, 9606"
803281,15,11,"3702, 5702, 6239, 9606, 9940"
803403,15,7,"3702, 6239, 7955, 8355, 9606"
802319,15,9,"6239, 7227, 8022, 9601, 9606"
789153,15,6,"7955, 9031, 9606, 9913, 10090"
802921,15,8,"6239, 7227, 7955, 9606, 10090"
793262,15,9,"6239, 7227, 7955, 9606, 10090"
793225,15,6,"7227, 9606, 10090, 10116, 227321"
789206,15,6,"6239, 7955, 9031, 9606, 10090"
805911,15,11,"3702, 6239, 7227, 7955, 9606"
802886,15,6,"3702, 7227, 7955, 9606, 10090"
801532,15,11,"3702, 7227, 9606, 10090, 10116"
802852,15,8,"3702, 6239, 7227, 7955, 9606"
801520,15,9,"3702, 7227, 9606, 10090, 10116"
1027635,15,12,"3702, 6239, 7227, 9606, 9823"
802858,15,9,"3702, 6239, 7227, 7955, 9606"
793171,15,9,"6239, 7227, 7955, 9606, 10090"
793045,15,8,"6239, 7227, 9606, 10090, 10116"
